model_id,cycle,state_index,state,cycle_length,ly_weight,qaly_weight,cost_weight,qaly_discount_factor,cost_discount_factor,ly_discount_factor,include_discounted_ly
A,0,1,Well no HPE,0.25,0.25,0.19475,3.8480642857142855,1.0,1.0,1.0,0
A,0,2,Well with HPE,0.25,0.25,0.19475,0.0,1.0,1.0,1.0,0
A,0,3,GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0,1.0,1.0,0
A,0,4,Unresolved GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0,1.0,1.0,0
A,0,5,Symptomatic ulcer,0.25,0.25,0.16925,628.2491339093506,1.0,1.0,1.0,0
A,0,6,Unresolved ulcer,0.25,0.25,0.16925,628.2491339093506,1.0,1.0,1.0,0
A,0,7,Serious GI event,0.25,0.25,0.135,3284.2846284020698,1.0,1.0,1.0,0
A,0,8,Unresolved serious GI event,0.25,0.25,0.135,3284.2846284020698,1.0,1.0,1.0,0
A,0,9,Post-event,0.25,0.25,0.19475,3.8480642857142855,1.0,1.0,1.0,0
A,0,10,Dead,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0
A,1,1,Well no HPE,0.25,0.25,0.19475,3.8480642857142855,1.0086374459977134,1.0086374459977134,1.0,0
A,1,2,Well with HPE,0.25,0.25,0.19475,0.0,1.0086374459977134,1.0086374459977134,1.0,0
A,1,3,GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0086374459977134,1.0086374459977134,1.0,0
A,1,4,Unresolved GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0086374459977134,1.0086374459977134,1.0,0
A,1,5,Symptomatic ulcer,0.25,0.25,0.16925,628.2491339093506,1.0086374459977134,1.0086374459977134,1.0,0
A,1,6,Unresolved ulcer,0.25,0.25,0.16925,628.2491339093506,1.0086374459977134,1.0086374459977134,1.0,0
A,1,7,Serious GI event,0.25,0.25,0.135,3284.2846284020698,1.0086374459977134,1.0086374459977134,1.0,0
A,1,8,Unresolved serious GI event,0.25,0.25,0.135,3284.2846284020698,1.0086374459977134,1.0086374459977134,1.0,0
A,1,9,Post-event,0.25,0.25,0.19475,3.8480642857142855,1.0086374459977134,1.0086374459977134,1.0,0
A,1,10,Dead,0.25,0.0,0.0,0.0,1.0086374459977134,1.0086374459977134,1.0,0
A,2,1,Well no HPE,0.25,0.25,0.19475,3.8480642857142855,1.0173494974687902,1.0173494974687902,1.0,0
A,2,2,Well with HPE,0.25,0.25,0.19475,0.0,1.0173494974687902,1.0173494974687902,1.0,0
A,2,3,GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0173494974687902,1.0173494974687902,1.0,0
A,2,4,Unresolved GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0173494974687902,1.0173494974687902,1.0,0
A,2,5,Symptomatic ulcer,0.25,0.25,0.16925,628.2491339093506,1.0173494974687902,1.0173494974687902,1.0,0
A,2,6,Unresolved ulcer,0.25,0.25,0.16925,628.2491339093506,1.0173494974687902,1.0173494974687902,1.0,0
A,2,7,Serious GI event,0.25,0.25,0.135,3284.2846284020698,1.0173494974687902,1.0173494974687902,1.0,0
A,2,8,Unresolved serious GI event,0.25,0.25,0.135,3284.2846284020698,1.0173494974687902,1.0173494974687902,1.0,0
A,2,9,Post-event,0.25,0.25,0.19475,3.8480642857142855,1.0173494974687902,1.0173494974687902,1.0,0
A,2,10,Dead,0.25,0.0,0.0,0.0,1.0173494974687902,1.0173494974687902,1.0,0
A,3,1,Well no HPE,0.25,0.25,0.19475,3.8480642857142855,1.0261367988139778,1.0261367988139778,1.0,0
A,3,2,Well with HPE,0.25,0.25,0.19475,0.0,1.0261367988139778,1.0261367988139778,1.0,0
A,3,3,GI discomfort,0.25,0.25,0.17507732474964233,43.078064285714284,1.0261367988139778,1.0261367988139778,1.0,0
