model_id,arm,metric,reference_value
A,HPE,total_ly,8.977281003126627
A,HPE,total_qaly,6.809523461157906
A,HPE,discounted_qaly,5.836725751627309
A,HPE,total_cost,296.2181207255137
A,HPE,discounted_cost,255.59046007705575
A,No HPE,total_ly,8.982839151659473
A,No HPE,total_qaly,6.827663991636155
A,No HPE,discounted_qaly,5.853486263554606
A,No HPE,total_cost,271.1209165492765
A,No HPE,discounted_cost,231.77820725228696
B,HPE,total_ly,9.732070028806755
B,HPE,total_qaly,7.866340735001918
B,HPE,discounted_qaly,6.70056399790777
B,HPE,total_cost,319.6831730292365
B,HPE,discounted_cost,274.2912485058748
B,No HPE,total_ly,9.733643285724066
B,No HPE,total_qaly,7.88180807842209
B,No HPE,discounted_qaly,6.715114968211687
B,No HPE,total_cost,293.93333235872205
B,No HPE,discounted_cost,249.90391281788263
C,HPE,total_ly,7.680960909998683
C,HPE,total_qaly,5.554545366550203
C,HPE,discounted_qaly,4.819641687074947
C,HPE,total_cost,2838.8821179444894
C,HPE,discounted_cost,2443.389075047942
C,No HPE,total_ly,7.736259201154516
C,No HPE,total_qaly,5.660172153737151
C,No HPE,discounted_qaly,4.906363746917832
C,No HPE,total_cost,1663.5179879494417
C,No HPE,discounted_cost,1423.4485006714249
D,HPE,total_ly,4.867891646240783
D,HPE,total_qaly,3.3852899992701713
D,HPE,discounted_qaly,3.0026031694311963
D,HPE,total_cost,14229.398237751526
D,HPE,discounted_cost,12596.4688111784
D,No HPE,total_ly,4.93477755754502
D,No HPE,total_qaly,3.4370113960887565
D,No HPE,discounted_qaly,3.0483975492336235
D,No HPE,total_cost,14235.802690801627
D,No HPE,discounted_cost,12580.87338953712
E,HPE,total_ly,7.580965676242964
E,HPE,discounted_ly,6.569760839795742
E,HPE,total_qaly,5.213953668182856
E,HPE,discounted_qaly,4.527469071273687
E,HPE,total_cost,59701.12283723176
E,HPE,discounted_cost,50215.77210630663
E,No HPE,total_ly,7.768061971861531
E,No HPE,discounted_ly,6.722164253017244
E,No HPE,total_qaly,5.347862475426036
E,No HPE,discounted_qaly,4.637165198271446
E,No HPE,total_cost,59494.07490118393
E,No HPE,discounted_cost,50005.37249400964
