model_id,arm,cycle,state_index,state,occupancy
A,HPE,0,1,Well no HPE,0.0
A,HPE,0,2,Well with HPE,1.0
A,HPE,0,3,GI discomfort,0.0
A,HPE,0,4,Unresolved GI discomfort,0.0
A,HPE,0,5,Symptomatic ulcer,0.0
A,HPE,0,6,Unresolved ulcer,0.0
A,HPE,0,7,Serious GI event,0.0
A,HPE,0,8,Unresolved serious GI event,0.0
A,HPE,0,9,Post-event,0.0
A,HPE,0,10,Dead,0.0
A,HPE,1,1,Well no HPE,0.0
A,HPE,1,2,Well with HPE,0.8420759057868368
A,HPE,1,3,GI discomfort,0.14958005622411985
A,HPE,1,4,Unresolved GI discomfort,0.0
A,HPE,1,5,Symptomatic ulcer,0.0027960836561070623
A,HPE,1,6,Unresolved ulcer,0.0
A,HPE,1,7,Serious GI event,0.0008589820494159239
A,HPE,1,8,Unresolved serious GI event,0.0
A,HPE,1,9,Post-event,0.0
A,HPE,1,10,Dead,0.004688972283520387
A,HPE,2,1,Well no HPE,0.0
A,HPE,2,2,Well with HPE,0.7090918311067216
A,HPE,2,3,GI discomfort,0.1259577613325717
A,HPE,2,4,Unresolved GI discomfort,0.02186115783032188
A,HPE,2,5,Symptomatic ulcer,0.002354514677372125
A,HPE,2,6,Unresolved ulcer,0.00040864823597441195
A,HPE,2,7,Serious GI event,0.0007233280873165475
A,HPE,2,8,Unresolved serious GI event,0.0001255404138072977
A,HPE,2,9,Post-event,0.1299611896016156
A,HPE,2,10,Dead,0.00951602871429884
A,HPE,3,1,Well no HPE,0.0
A,HPE,3,2,Well with HPE,0.5971091459652392
A,HPE,3,3,GI discomfort,0.11267546066117899
A,HPE,3,4,Unresolved GI discomfort,0.018408754281517295
A,HPE,3,5,Symptomatic ulcer,0.0020846323882975034
A,HPE,3,6,Unresolved ulcer,0.000344112833456346
A,HPE,3,7,Serious GI event,0.0006481909970450763
A,HPE,3,8,Unresolved serious GI event,0.00010571455766963452
A,HPE,3,9,Post-event,0.2543054217558563
A,HPE,3,10,Dead,0.01431856655973954
A,HPE,4,1,Well no HPE,0.0
A,HPE,4,2,Well with HPE,0.5028112249422834
A,HPE,4,3,GI discomfort,0.1022488861820921
A,HPE,4,4,Unresolved GI discomfort,0.01646754314243307
A,HPE,4,5,Symptomatic ulcer,0.0018690653351613397
A,HPE,4,6,Unresolved ulcer,0.0003046694780652448
A,HPE,4,7,Serious GI event,0.0005894040770388811
A,HPE,4,8,Unresolved serious GI event,9.473325554420512e-05
A,HPE,4,9,Post-event,0.35653408381191104
A,HPE,4,10,Dead,0.01908038977547065
A,HPE,5,1,Well no HPE,0.0
A,HPE,5,2,Well with HPE,0.4234052176830622
A,HPE,5,3,GI discomfort,0.09334286331980157
A,HPE,5,4,Unresolved GI discomfort,0.014943697008992658
A,HPE,5,5,Symptomatic ulcer,0.0016855970791587892
A,HPE,5,6,Unresolved ulcer,0.0002731643062489826
A,HPE,5,7,Serious GI event,0.000539155430340567
A,HPE,5,8,Unresolved serious GI event,8.614153436789828e-05
A,HPE,5,9,Post-event,0.4419178307530094
A,HPE,5,10,Dead,0.023806332885017843
A,HPE,6,1,Well no HPE,0.0
A,HPE,6,2,Well with HPE,0.3565393321953374
A,HPE,6,3,GI discomfort,0.08580768821658008
A,HPE,6,4,Unresolved GI discomfort,0.01364207982587521
A,HPE,6,5,Symptomatic ulcer,0.0015305533148628433
A,HPE,6,6,Unresolved ulcer,0.0002463503806323474
A,HPE,6,7,Serious GI event,0.0004966315231666128
A,HPE,6,8,Unresolved serious GI event,7.879768369715095e-05
A,HPE,6,9,Post-event,0.5131598781970612
A,HPE,6,10,Dead,0.02849868866278702
A,HPE,7,1,Well no HPE,0.0
A,HPE,7,2,Well with HPE,0.30023318110702263
A,HPE,7,3,GI discomfort,0.07942905772299955
A,HPE,7,4,Unresolved GI discomfort,0.012540812341633721
A,HPE,7,5,Symptomatic ulcer,0.001399478861086001
A,HPE,7,6,Unresolved ulcer,0.00022369070067606762
A,HPE,7,7,Serious GI event,0.00046062536722147896
A,HPE,7,8,Unresolved serious GI event,7.258280539212549e-05
A,HPE,7,9,Post-event,0.572481207307297
A,HPE,7,10,Dead,0.0331593637866713
A,HPE,8,1,Well no HPE,0.0
A,HPE,8,2,Well with HPE,0.25281912792795946
A,HPE,8,3,GI discomfort,0.07402369831026916
A,HPE,8,4,Unresolved GI discomfort,0.011608574104254435
A,HPE,8,5,Symptomatic ulcer,0.001288578710428027
A,HPE,8,6,Unresolved ulcer,0.00020453414067821992
A,HPE,8,7,Serious GI event,0.0004301039423588071
A,HPE,8,8,Unresolved serious GI event,6.732049785026733e-05
A,HPE,8,9,Post-event,0.6217680667973776
A,HPE,8,10,Dead,0.037789995568823766
A,HPE,9,1,Well no HPE,0.0
A,HPE,9,2,Well with HPE,0.21289289615017462
A,HPE,9,3,GI discomfort,0.06943809418256791
A,HPE,9,4,Unresolved GI discomfort,0.010818579647545169
A,HPE,9,5,Symptomatic ulcer,0.0011946697412926108
A,HPE,9,6,Unresolved ulcer,0.0001883260594798288
A,HPE,9,7,Serious GI event,0.0004042021843979318
A,HPE,9,8,Unresolved serious GI event,6.285978495195523e-05
A,HPE,9,9,Post-event,0.6626083940328448
A,HPE,9,10,Dead,0.04239197821674495
A,HPE,10,1,Well no HPE,0.0
A,HPE,10,2,Well with HPE,0.17927197836124126
A,HPE,10,3,GI discomfort,0.06554295165942109
A,HPE,10,4,Unresolved GI discomfort,0.010148392604475401
A,HPE,10,5,Symptomatic ulcer,0.0011150711885248884
A,HPE,10,6,Unresolved ulcer,0.00017460124316557262
A,HPE,10,7,Serious GI event,0.00038219151512002014
A,HPE,10,8,Unresolved serious GI event,5.907423737857369e-05
A,HPE,10,9,Post-event,0.6963392376239201
A,HPE,10,10,Dead,0.046966501566752715
A,HPE,11,1,Well no HPE,0.0
A,HPE,11,2,Well with HPE,0.15096061356074045
A,HPE,11,3,GI discomfort,0.062229389789731554
A,HPE,11,4,Unresolved GI discomfort,0.009579116675453655
A,HPE,11,5,Symptomatic ulcer,0.0010475255540180754
A,HPE,11,6,Unresolved ulcer,0.0001629678973235767
A,HPE,11,7,Serious GI event,0.00036345838171245926
A,HPE,11,8,Unresolved serious GI event,5.585737326458726e-05
A,HPE,11,9,Post-event,0.7240864873828657
A,HPE,11,10,Dead,0.05151458338488956
A,HPE,12,1,Well no HPE,0.0
A,HPE,12,2,Well with HPE,0.12712029540229713
A,HPE,12,3,GI discomfort,0.05940572221195372
A,HPE,12,4,Unresolved GI discomfort,0.009094838885737604
A,HPE,12,5,Symptomatic ulcer,0.0009901318478258
A,HPE,12,6,Unresolved ulcer,0.00015309608811332873
A,HPE,12,7,Serious GI event,0.0003474861241472758
A,HPE,12,8,Unresolved serious GI event,5.311952173265872e-05
A,HPE,12,9,Post-event,0.7467982134607445
A,HPE,12,10,Dead,0.05603709645744756
A,HPE,13,1,Well no HPE,0.0
A,HPE,13,2,Well with HPE,0.10704493789477962
A,HPE,13,3,GI discomfort,0.05699474131106268
A,HPE,13,4,Unresolved GI discomfort,0.008682159253596845
A,HPE,13,5,Symptomatic ulcer,0.0009412892807166508
A,HPE,13,6,Unresolved ulcer,0.00014470798543969075
A,HPE,13,7,Serious GI event,0.0003338396710919103
A,HPE,13,8,Unresolved serious GI event,5.078517280705159e-05
