model_id,arm,cycle,from_index,from_state,to_index,to_state,probability
A,HPE,1,1,Well no HPE,1,Well no HPE,0.9433685141994637
A,HPE,1,1,Well no HPE,3,GI discomfort,0.05085721911620075
A,HPE,1,1,Well no HPE,5,Symptomatic ulcer,0.0007844827288323197
A,HPE,1,1,Well no HPE,7,Serious GI event,0.00030081167198279054
A,HPE,1,1,Well no HPE,10,Dead,0.004688972283520387
A,HPE,1,2,Well with HPE,2,Well with HPE,0.8420759057868368
A,HPE,1,2,Well with HPE,3,GI discomfort,0.14958005622411985
A,HPE,1,2,Well with HPE,5,Symptomatic ulcer,0.0027960836561070623
A,HPE,1,2,Well with HPE,7,Serious GI event,0.0008589820494159239
A,HPE,1,2,Well with HPE,10,Dead,0.004688972283520387
A,HPE,1,3,GI discomfort,4,Unresolved GI discomfort,0.1461502180315183
A,HPE,1,3,GI discomfort,9,Post-event,0.8491608096849613
A,HPE,1,3,GI discomfort,10,Dead,0.004688972283520387
A,HPE,1,4,Unresolved GI discomfort,9,Post-event,0.9953110277164796
A,HPE,1,4,Unresolved GI discomfort,10,Dead,0.004688972283520387
A,HPE,1,5,Symptomatic ulcer,6,Unresolved ulcer,0.1461502180315183
A,HPE,1,5,Symptomatic ulcer,9,Post-event,0.82942388783235
A,HPE,1,5,Symptomatic ulcer,10,Dead,0.02442589413613172
A,HPE,1,6,Unresolved ulcer,9,Post-event,0.9755741058638683
A,HPE,1,6,Unresolved ulcer,10,Dead,0.02442589413613172
A,HPE,1,7,Serious GI event,8,Unresolved serious GI event,0.1461502180315183
A,HPE,1,7,Serious GI event,9,Post-event,0.7270575319842731
A,HPE,1,7,Serious GI event,10,Dead,0.12679224998420857
A,HPE,1,8,Unresolved serious GI event,9,Post-event,0.8732077500157914
A,HPE,1,8,Unresolved serious GI event,10,Dead,0.12679224998420857
A,HPE,1,9,Post-event,3,GI discomfort,0.05085721911620075
A,HPE,1,9,Post-event,5,Symptomatic ulcer,0.0007844827288323197
A,HPE,1,9,Post-event,7,Serious GI event,0.00030081167198279054
A,HPE,1,9,Post-event,9,Post-event,0.9433685141994637
A,HPE,1,9,Post-event,10,Dead,0.004688972283520387
A,HPE,1,10,Dead,10,Dead,1.0
A,HPE,2,1,Well no HPE,1,Well no HPE,0.9433685141994637
A,HPE,2,1,Well no HPE,3,GI discomfort,0.05085721911620075
A,HPE,2,1,Well no HPE,5,Symptomatic ulcer,0.0007844827288323197
A,HPE,2,1,Well no HPE,7,Serious GI event,0.00030081167198279054
A,HPE,2,1,Well no HPE,10,Dead,0.004688972283520387
A,HPE,2,2,Well with HPE,2,Well with HPE,0.8420759057868368
A,HPE,2,2,Well with HPE,3,GI discomfort,0.14958005622411985
A,HPE,2,2,Well with HPE,5,Symptomatic ulcer,0.0027960836561070623
A,HPE,2,2,Well with HPE,7,Serious GI event,0.0008589820494159239
A,HPE,2,2,Well with HPE,10,Dead,0.004688972283520387
A,HPE,2,3,GI discomfort,4,Unresolved GI discomfort,0.1461502180315183
A,HPE,2,3,GI discomfort,9,Post-event,0.8491608096849613
A,HPE,2,3,GI discomfort,10,Dead,0.004688972283520387
A,HPE,2,4,Unresolved GI discomfort,9,Post-event,0.9953110277164796
A,HPE,2,4,Unresolved GI discomfort,10,Dead,0.004688972283520387
